Opcode,Mnemonic,2BOP,MRM,IMM,OP,EIP,Sreg,1U,OSO,DS,imx,EF,EIP.MUX,FAR.BR,LD.SREG,SREG.MUX,OSO.AFF,OP.DECIMAL
D1 /7,"SAR r/m16,1",0,1,0,D1,0,0,1,1,01,XX,1,XX,0,0,X,1,209
D1 /7,"SAR r/m32,1",0,1,0,D1,0,0,1,0,10,XX,1,XX,0,0,X,1,209
D2 /4,"SAL r/m8,CL",0,1,0,D2,0,0,1,1,00,XX,1,XX,0,0,X,0,210
D2 /7,"SAR r/m8,CL",0,1,0,D2,0,0,1,0,00,XX,1,XX,0,0,X,0,210
D3 /4,"SAL r/m16,CL",0,1,0,D3,0,0,1,1,01,XX,1,XX,0,0,X,1,211
D3 /4,"SAL r/m32,CL",0,1,0,D3,0,0,1,1,10,XX,1,XX,0,0,X,1,211
D3 /7,"SAR r/m16,CL",0,1,0,D3,0,0,1,1,01,XX,1,XX,0,0,X,1,211
D3 /7,"SAR r/m32,CL",0,1,0,D3,0,0,1,0,10,XX,1,XX,0,0,X,1,211
0F E0 /r,"PAVGB mm1, mm2/m64",1,0,0,E0,0,0,1,0,11,XX,0,XX,0,0,X,0,224
0F E3 /r,"PAVGW mm1, mm2/m64",1,0,0,E3,0,0,1,0,11,XX,0,XX,0,0,X,0,227
E8 cw,CALL rel16,0,0,2,E8,1,0,1,1,01,01,0,00,0,0,X,1,232
E8 cd,CALL rel32,0,0,4,E8,1,0,1,0,10,11,0,00,0,0,X,1,232
E9 cw,JMP rel16,0,0,2,E9,1,0,1,1,01,01,0,00,0,0,X,1,233
E9 cd,JMP rel32,0,0,4,E9,1,0,1,0,10,11,0,00,0,0,X,1,233
EA cd,JMP ptr16:16,0,0,4,EA,1,1,1,1,01,11,0,11,1,0,X,1,234
EA cp,JMP ptr16:32,0,0,6,EA,1,1,1,0,10,11,0,11,1,0,X,1,234
EB cb,JMP rel8,0,0,1,EB,1,0,1,0,01/10/XX,00,0,00,0,0,X,1,235
F3 A4,"REP MOVS m8,m8",0,0,0,F3,0,0,0,1,00,XX,0,XX,0,0,X,1,243
F3 A5,"REP MOVS m16,m16",0,0,0,F3,0,0,0,1,01,XX,0,XX,0,0,X,1,243
F3 A5,"REP MOVS m32,m32",0,0,0,F3,0,0,0,1,10,XX,0,XX,0,0,X,1,243
F3 A7,"REPE CMPS m32,m32",0,0,0,F3,0,0,0,0,10,XX,1,XX,0,0,X,1,243
F4,HLT,0,0,0,F4,0,0,1,0,XX,XX,0,XX,0,0,X,0,244
F6 /2,NOT r/m8,0,1,0,F6,0,0,1,0,00,XX,0,XX,0,0,X,0,246
F7 /2,NOT r/m16,0,1,0,F7,0,0,1,1,01,XX,0,XX,0,0,X,1,247
F7 /2,NOT r/m32,0,1,0,F7,0,0,1,0,10,XX,0,XX,0,0,X,1,247
FC,CLD,0,0,0,FC,0,0,1,0,XX,XX,1,XX,0,0,X,0,252
0F FD /r,"PADDW mm, mm/m64",1,0,0,FD,0,0,1,1,11,XX,1,XX,0,0,X,0,253
FD,STD,0,0,0,FD,0,0,1,0,XX,XX,1,XX,0,0,X,0,253
0F FE /r,"PADDD mm, mm/m64",1,0,0,FE,0,0,1,0,11,XX,1,XX,0,0,X,0,254
FF /2,CALL r/m16,0,1,0,FF,1,0,1,1,01,XX,0,01/10,0,0,X,1,255
FF /2,CALL r/m32,0,1,0,FF,1,0,1,1,10,XX,0,01/10,0,0,X,1,255
FF /4,JMP r/m16,0,1,0,FF,1,0,1,1,01,XX,0,01/10,0,0,X,1,255
FF /4,JMP r/m32,0,1,0,FF,1,0,1,1,10,XX,0,01/10,0,0,X,1,255
FF /6,PUSH r/m16,0,1,0,FF,0,0,1,1,01,XX,0,XX,0,0,X,1,255
FF /6,PUSH r/m32,0,1,0,FF,0,0,1,0,10,XX,0,XX,0,0,X,1,255
XX,INTEX,0,0,0,XX,1,1,0,0,"10, 11",XX,0,XX,1,0,X,0,#NUM!
